"Type","Name","Reason","Priority","Confidence"
"Skill","Bash_[""Bash""]","Repeated workflow with 317 occurrences and 98.74% success","High","0.99"
"Skill","Read_[""Read""]","Repeated workflow with 312 occurrences and 100.0% success","High","1"
"Skill","PowerShell_[""PowerShell""]","Repeated workflow with 305 occurrences and 100.0% success","High","1"
"Skill","Edit_[""Edit""]","Repeated workflow with 226 occurrences and 100.0% success","High","1"
"Skill","Grep_[""Grep""]","Repeated workflow with 90 occurrences and 100.0% success","High","1"
"Skill","Write_[""Write""]","Repeated workflow with 54 occurrences and 100.0% success","High","1"
"Skill","TaskUpdate_[""TaskUpdate""]","Repeated workflow with 32 occurrences and 100.0% success","High","1"
"Skill","Glob_[""Glob""]","Repeated workflow with 23 occurrences and 100.0% success","High","1"
"Skill","TaskCreate_[""TaskCreate""]","Repeated workflow with 19 occurrences and 100.0% success","High","1"
"Skill","ToolSearch_[""ToolSearch""]","Repeated workflow with 18 occurrences and 100.0% success","High","1"
"Skill","logger-utility-pattern","typescript pattern used 32 times with 96.97% success","Medium","0.97"
