"tool_name","usage_count","success_rate","avg_execution_time","last_used"
"[""Bash""]","317","98.74","17578.62",
"[""Read""]","312","100.0","98.33",
"[""PowerShell""]","305","100.0","18348.66",
"[""Edit""]","226","100.0","238.69",
"","93","100.0","376266.53",
"[""Grep""]","90","100.0","1504.79",
"[""Write""]","54","100.0","4476.48",
"[""TaskUpdate""]","32","100.0","36.41",
"[""Glob""]","23","100.0","5584.87",
"[""TaskCreate""]","19","100.0","18.16",
"[""ToolSearch""]","18","100.0","33.28",
"[""AskUserQuestion""]","8","100.0","1.0",
"[""WebSearch""]","8","100.0","16058.0",
"[""WebFetch""]","5","100.0","5799.6",
"[""TaskStop""]","3","100.0","70.33",
"[""mcp__plugin_playwright_playwright__browser_snapshot""]","3","100.0","33.33",
