"task_type","frequency","avg_success_rate","avg_steps"
"Bash_[""Bash""]","317","98.74","17578.6246056782"
"Read_[""Read""]","312","100.0","98.3300970873786"
"PowerShell_[""PowerShell""]","305","100.0","18348.6557377049"
"Edit_[""Edit""]","226","100.0","238.690265486726"
"Grep_[""Grep""]","90","100.0","1504.78888888889"
"Write_[""Write""]","54","100.0","4476.48148148148"
"TaskUpdate_[""TaskUpdate""]","32","100.0","36.40625"
"Glob_[""Glob""]","23","100.0","5584.86956521739"
"TaskCreate_[""TaskCreate""]","19","100.0","18.1578947368421"
"ToolSearch_[""ToolSearch""]","18","100.0","33.2777777777778"
"AskUserQuestion_[""AskUserQuestion""]","8","100.0","1.0"
"WebSearch_[""WebSearch""]","8","100.0","16058.0"
"","7","100.0","0.0"
"WebFetch_[""WebFetch""]","5","100.0","5799.6"
"TaskStop_[""TaskStop""]","3","100.0","70.3333333333333"
"","3","100.0","0.0"
"mcp__plugin_playwright_playwright__browser_snapshot_[""mcp__plugin_playwright_playwright__browser_snapshot""]","3","100.0","33.3333333333333"
"","2","100.0","491.0"
"","2","100.0","427.0"
"","2","100.0","887.5"
"SendUserFile_[""SendUserFile""]","2","100.0","603.5"
"mcp__memory__memory_learning_record_execution_[""mcp__memory__memory_learning_record_execution""]","2","100.0","133.5"
"mcp__plugin_playwright_playwright__browser_click_[""mcp__plugin_playwright_playwright__browser_click""]","2","100.0","889.0"
"mcp__plugin_playwright_playwright__browser_take_screenshot_[""mcp__plugin_playwright_playwright__browser_take_screenshot""]","2","100.0","147.0"
"view_file_[""view_file""]","2","50.0","2000.0"
